pt_graph met
874 14
918 14
920 14
967 14
1024 14
1082 14
1150 14
1152 14
1221 14
1296 14
1548 14
1549 14
1627 14
1905 14
1997 14
2070 14
2090 14
2167 14
2180 14
2185 14
2186 14
2258 14
2273 14
2349 14
2439 14
2440 14
2522 14
2672 14
2742 14
2816 14
2823 14
2947 14
3006 14
3065 14
3403 14
3409 14
3451 14
3488 14
3490 14
3527 14
3731 14
4215 14
4277 14
4290 14
4297 14
4417 14
4488 14
4514 14
4604 14
4631 14
4632 14
4662 14
4669 14
4789 14
4791 14
4805 14
4806 14
4826 14
4828 14
4841 14
4842 14
4843 14
4868 14
4884 14
4885 14
4886 14
4929 14
4930 14
4974 14
4975 14
4976 14
5000 14
5001 14
5042 14
5084 14
5085 14
5088 14
5090 14
5091 14
5116 14
5132 14
5133 14
5172 14
5173 14
5174 14
5210 14
5236 14
5237 14
5248 14
5250 14
5285 14
5286 14
5314 14
5324 14
5327 14
5352 14
5360 14
5387 14
5390 14
5464 14
5465 14
5476 14
5495 14
5503 14
5504 14
5506 14
5534 14
5543 14
5582 14
5583 14
5584 14
5585 14
5603 14
5620 14
5622 14
5623 14
5624 14
5625 14
5662 14
5663 14
5664 14
5683 14
5701 14
5704 14
5706 14
5739 14
5741 14
5744 14
5745 14
5746 14
5756 14
5780 14
5782 14
5783 14
5784 14
5785 14
5786 14
5787 14
5788 14
5795 14
5820 14
5821 14
5824 14
5825 14
5826 14
5827 14
5828 14
5832 14
5833 14
5837 14
5854 14
5857 14
5858 14
5862 14
5863 14
5864 14
5865 14
5866 14
5867 14
5869 14
5871 14
5872 14
5873 14
5874 14
5895 14
5896 14
5898 14
5902 14
5903 14
5904 14
5905 14
5906 14
5907 14
5908 14
5910 14
5911 14
5921 14
5934 14
5935 14
5936 14
5942 14
5943 14
5944 14
5945 14
5947 14
5949 14
5950 14
5973 14
5975 14
5978 14
5982 14
5983 14
5984 14
5985 14
5986 14
5987 14
5989 14
5990 14
6011 14
6014 14
6020 14
6021 14
6022 14
6023 14
6024 14
6025 14
6026 14
6027 14
6050 14
6055 14
6057 14
6059 14
6061 14
6062 14
6070 14
6087 14
6088 14
6095 14
6096 14
6097 14
6124 14
6125 14
6133 14
6134 14
6135 14
6174 14
6202 14
6203 14
6248 14
6570 14
6752 14
6783 14
6794 14
6917 14
7115 14
7122 14
7124 14
7195 14
7196 14
7197 14
7270 14
7271 14
7344 14
7345 14
7422 14
7423 14
7504 14
7505 14
7506 14
7592 14
7593 14
7594 14
7684 14
7685 14
7779 14
7780 14
7781 14
7875 14
7876 14
7877 14
7980 14
7981 14
7982 14
8088 14
8089 14
8090 14
8200 14
8201 14
8202 14
8316 14
8317 14
8318 14
8434 14
8435 14
8436 14
8555 14
8557 14
8678 14
8679 14
8801 14
8802 14
8923 14
